epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10	precision@15	recall@15	ndcg@15	precision@20	recall@20	ndcg@20	precision@25	recall@25	ndcg@25
10.0	0.07285615801811218	0.17301006615161896	0.1368342622076983	0.059416264295578	0.2834456264972687	0.17708035919505896	0.050961319357156754	0.3635503351688385	0.20248427682708214	0.04464211314916611	0.42233601212501526	0.21932429573571616	0.03981098160147667	0.4684049189090729	0.23162553854486248
20.0	0.08108408749103546	0.19713647663593292	0.15498608709842537	0.06744962185621262	0.32424670457839966	0.2015904852830585	0.05902247130870819	0.4235736131668091	0.23303805106511405	0.0519041046500206	0.4916340112686157	0.2527428848677959	0.04643780365586281	0.5470212697982788	0.26753767196532624
30.0	0.08180680871009827	0.1970389485359192	0.1558017591704917	0.0685754045844078	0.32829731702804565	0.2038392911768274	0.06019921600818634	0.43129974603652954	0.23640726369830745	0.053224463015794754	0.5034094452857971	0.2572366018884925	0.04766087234020233	0.5608729124069214	0.2725656710702514
40.0	0.08158443868160248	0.19678133726119995	0.15505960179508468	0.0682140365242958	0.3274860382080078	0.2027034365608955	0.0600324310362339	0.4290730655193329	0.23510014540956517	0.05317582190036774	0.5026441216468811	0.2563238397081745	0.04770534858107567	0.5606881380081177	0.2718295082488422
50.0	0.0800555944442749	0.1928539276123047	0.15217275147046175	0.06764420121908188	0.3240104019641876	0.20008179725983433	0.059698864817619324	0.42486482858657837	0.23226444449658043	0.052883945405483246	0.49974408745765686	0.2536823382037314	0.047460734844207764	0.5571260452270508	0.2690760746924729
60.0	0.0788603201508522	0.19052687287330627	0.1499351118201613	0.06628214567899704	0.3157985210418701	0.19588127691284415	0.058763038367033005	0.41763025522232056	0.22827974759055153	0.052105631679296494	0.49207377433776855	0.24953072298693396	0.04694371297955513	0.5508444309234619	0.2652606083514634
70.0	0.07697012275457382	0.18598969280719757	0.1465390039320866	0.0648089051246643	0.30936095118522644	0.19180632801226213	0.057475097477436066	0.40806934237480164	0.22332777311373017	0.05127866566181183	0.48385950922966003	0.24496436815809036	0.046220988035202026	0.5416382551193237	0.26046868186573613
80.0	0.07580264657735825	0.18285173177719116	0.14303451357381322	0.06366921216249466	0.3031911551952362	0.1869179536417603	0.056279826909303665	0.3989779055118561	0.21747549497774588	0.05052119493484497	0.4766707420349121	0.23960877160946228	0.04539819061756134	0.5315127968788147	0.25434400863598144
90.0	0.07305073738098145	0.17499296367168427	0.13742464110064914	0.06179291382431984	0.29345259070396423	0.1808071033574288	0.054704658687114716	0.38890886306762695	0.21105113219073407	0.049464911222457886	0.46549808979034424	0.23309570949238406	0.0446309931576252	0.5220417976379395	0.24824641391160707
100.0	0.07160528004169464	0.17082223296165466	0.13383154782235682	0.06041695922613144	0.2858046293258667	0.17595847217208563	0.053629834204912186	0.3797392249107361	0.20575105390042847	0.04810980334877968	0.4527851343154907	0.226659172082765	0.043847113847732544	0.5126206874847412	0.24270596176428116
110.0	0.0702432245016098	0.16693341732025146	0.13052838882193893	0.058832526206970215	0.2776740789413452	0.17105425305779645	0.05246235802769661	0.37112897634506226	0.20062275861341258	0.046942319720983505	0.4414603114128113	0.2207220730846953	0.04309103265404701	0.5029638409614563	0.23723953336388467
120.0	0.06876998394727707	0.16369718313217163	0.12740062466703972	0.05758165568113327	0.27150481939315796	0.16691219533876536	0.051276352256536484	0.36205291748046875	0.19561375133158293	0.04588603600859642	0.43107083439826965	0.21531477288751094	0.04243502393364906	0.4957806169986725	0.23259506070701044
