id,table,column,class_id,property_id,issuer_id,issued,modifier_id,modified
0cdde3b0-1fa4-11ee-9b66-ff42ce833e05,domain,name,skos:ConceptScheme,skos:prefLabel,std_admin,2023-07-11 04:33:14.602+00,,
0cdde3b1-1fa4-11ee-9b66-ff42ce833e05,domain,description,skos:ConceptScheme,skos:notation,std_admin,2023-07-11 04:33:14.602+00,,
0cdde3b2-1fa4-11ee-9b66-ff42ce833e05,domain,issued,skos:ConceptScheme,dcterms:issued,std_admin,2023-07-11 04:33:14.602+00,,
0cdde3b3-1fa4-11ee-9b66-ff42ce833e05,domain,modified,skos:ConceptScheme,dcterms:modified,std_admin,2023-07-11 04:33:14.602+00,,
0cdde3b4-1fa4-11ee-9b66-ff42ce833e05,tenant_group,name,skos:ConceptScheme,skos:prefLabel,std_admin,2023-07-11 04:33:14.602+00,,
0cdde3b5-1fa4-11ee-9b66-ff42ce833e05,tenant_group,description,skos:ConceptScheme,skos:notation,std_admin,2023-07-11 04:33:14.602+00,,
0cdde3b6-1fa4-11ee-9b66-ff42ce833e05,tenant_group,issued,skos:ConceptScheme,dcterms:issued,std_admin,2023-07-11 04:33:14.602+00,,
0cdde3b7-1fa4-11ee-9b66-ff42ce833e05,tenant_group,modified,skos:ConceptScheme,dcterms:modified,std_admin,2023-07-11 04:33:14.602+00,,
0cdde3b8-1fa4-11ee-9b66-ff42ce833e05,taxonomy,name,skos:ConceptScheme,skos:prefLabel,std_admin,2023-07-11 04:33:14.602+00,,
0cdde3b9-1fa4-11ee-9b66-ff42ce833e05,taxonomy,description,skos:ConceptScheme,skos:notation,std_admin,2023-07-11 04:33:14.602+00,,
0cdde3ba-1fa4-11ee-9b66-ff42ce833e05,taxonomy,issued,skos:ConceptScheme,dcterms:issued,std_admin,2023-07-11 04:33:14.602+00,,
0cdde3bb-1fa4-11ee-9b66-ff42ce833e05,taxonomy,modified,skos:ConceptScheme,dcterms:modified,std_admin,2023-07-11 04:33:14.602+00,,
0cdde3bc-1fa4-11ee-9b66-ff42ce833e05,category,name,skos:Concept,skos:prefLabel,std_admin,2023-07-11 04:33:14.602+00,,
0cdde3bd-1fa4-11ee-9b66-ff42ce833e05,category,description,skos:Concept,skos:notation,std_admin,2023-07-11 04:33:14.602+00,,
0cdde3be-1fa4-11ee-9b66-ff42ce833e05,category,issued,skos:Concept,dcterms:issued,std_admin,2023-07-11 04:33:14.602+00,,
0cde0a00-1fa4-11ee-9b66-ff42ce833e05,distribution,access_service,dcat:Distribution,dcat:accessService,std_admin,2023-07-25 07:20:38.165125+00,,
0cde0a01-1fa4-11ee-9b66-ff42ce833e05,distribution,access_url,dcat:Distribution,dcat:accessURL,std_admin,2023-07-25 07:20:38.208311+00,,
0cde0a02-1fa4-11ee-9b66-ff42ce833e05,distribution,byte_size,dcat:Distribution,dcat:byteSize,std_admin,2023-07-25 07:20:38.231653+00,,
0cde0a03-1fa4-11ee-9b66-ff42ce833e05,distribution,compress_format,dcat:Distribution,dcat:compressFormat,std_admin,2023-07-25 07:20:38.251947+00,,
0cde0a04-1fa4-11ee-9b66-ff42ce833e05,distribution,download_url,dcat:Distribution,dcat:downloadURL,std_admin,2023-07-25 07:20:38.267715+00,,
0cde0a05-1fa4-11ee-9b66-ff42ce833e05,distribution,media_type,dcat:Distribution,dcat:mediaType,std_admin,2023-07-25 07:20:38.281082+00,,
0cde0a06-1fa4-11ee-9b66-ff42ce833e05,distribution,package_format,dcat:Distribution,dcat:packageFormat,std_admin,2023-07-25 07:20:38.297118+00,,
0cde0a07-1fa4-11ee-9b66-ff42ce833e05,distribution,spatial_resolution_in_meters,dcat:Distribution,dcat:spatialResolutionInMeters,std_admin,2023-07-25 07:20:38.312919+00,,
0cde0a08-1fa4-11ee-9b66-ff42ce833e05,distribution,access_rights,dcat:Distribution,dcterms:accessRights,std_admin,2023-07-25 07:20:38.329137+00,,
0cde0a09-1fa4-11ee-9b66-ff42ce833e05,distribution,conforms_to,dcat:Distribution,dcterms:conformsTo,std_admin,2023-07-25 07:20:38.342506+00,,
0cde0a0a-1fa4-11ee-9b66-ff42ce833e05,distribution,description,dcat:Distribution,dcterms:description,std_admin,2023-07-25 07:20:38.35917+00,,
0cde0a0b-1fa4-11ee-9b66-ff42ce833e05,distribution,format,dcat:Distribution,dcterms:format,std_admin,2023-07-25 07:20:38.376596+00,,
0cde0a0c-1fa4-11ee-9b66-ff42ce833e05,distribution,license,dcat:Distribution,dcterms:license,std_admin,2023-07-25 07:20:38.399794+00,,
0cde0a0d-1fa4-11ee-9b66-ff42ce833e05,distribution,rights,dcat:Distribution,dcterms:rights,std_admin,2023-07-25 07:20:38.418911+00,,
0cde0a0e-1fa4-11ee-9b66-ff42ce833e05,distribution,title,dcat:Distribution,dcterms:title,std_admin,2023-07-25 07:20:38.431437+00,,
0cde0a10-1fa4-11ee-9b66-ff42ce833e05,distribution,has_policy,dcat:Distribution,odrl:hasPolicy,std_admin,2023-07-25 07:20:38.451191+00,,
0cde0a13-1fa4-11ee-9b66-ff42ce833e05,distribution,temporal_resolution,dcat:Distribution,dcat:temporalResolution,std_admin,2023-07-25 07:59:56.135028+00,,
0cde0ac0-1fa4-11ee-9b66-ff42ce833e05,category,modified,skos:Concept,dcterms:modified,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ac1-1fa4-11ee-9b66-ff42ce833e05,asset,status,dcat:Resource,adms:status,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ac2-1fa4-11ee-9b66-ff42ce833e05,asset,version_notes,dcat:Resource,adms:versionNotes,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ac3-1fa4-11ee-9b66-ff42ce833e05,asset,version,dcat:Resource,dcat:version,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ac4-1fa4-11ee-9b66-ff42ce833e05,asset,has_version,dcat:Resource,dcat:hasVersion,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ac5-1fa4-11ee-9b66-ff42ce833e05,asset,current_version,dcat:Resource,dcat:hasCurrentVersion,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ac6-1fa4-11ee-9b66-ff42ce833e05,asset,previous_version,dcat:Resource,dcat:previousVersion,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ac7-1fa4-11ee-9b66-ff42ce833e05,asset,contact_point,dcat:Resource,dcat:contactPoint,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ac8-1fa4-11ee-9b66-ff42ce833e05,asset,keyword,dcat:Resource,dcat:keyword,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ac9-1fa4-11ee-9b66-ff42ce833e05,asset,landing_page,dcat:Resource,dcat:landingPage,std_admin,2023-07-11 04:33:14.602+00,,
0cde0aca-1fa4-11ee-9b66-ff42ce833e05,asset,first_asset,dcat:Resource,dcat:first,std_admin,2023-07-11 04:33:14.602+00,,
0cde0acb-1fa4-11ee-9b66-ff42ce833e05,asset,last_asset,dcat:Resource,dcat:last,std_admin,2023-07-11 04:33:14.602+00,,
0cde0acc-1fa4-11ee-9b66-ff42ce833e05,asset,previous_asset,dcat:Resource,dcat:prev,std_admin,2023-07-11 04:33:14.602+00,,
0cde0acd-1fa4-11ee-9b66-ff42ce833e05,asset,theme,dcat:Resource,dcat:theme,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ace-1fa4-11ee-9b66-ff42ce833e05,asset,access_rights,dcat:Resource,dcterms:accessRights,std_admin,2023-07-11 04:33:14.602+00,,
0cde0acf-1fa4-11ee-9b66-ff42ce833e05,asset,conforms_to,dcat:Resource,dcterms:conformsTo,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ad0-1fa4-11ee-9b66-ff42ce833e05,asset,creator,dcat:Resource,dcterms:creator,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ad1-1fa4-11ee-9b66-ff42ce833e05,asset,description,dcat:Resource,dcterms:description,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ad2-1fa4-11ee-9b66-ff42ce833e05,asset,has_part,dcat:Resource,dcterms:hasPart,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ad3-1fa4-11ee-9b66-ff42ce833e05,asset,identifier,dcat:Resource,dcterms:identifier,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ad4-1fa4-11ee-9b66-ff42ce833e05,asset,is_referenced_by,dcat:Resource,dcterms:isReferencedBy,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ad5-1fa4-11ee-9b66-ff42ce833e05,asset,language,dcat:Resource,dcterms:language,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ad6-1fa4-11ee-9b66-ff42ce833e05,asset,license,dcat:Resource,dcterms:license,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ad7-1fa4-11ee-9b66-ff42ce833e05,asset,relation,dcat:Resource,dcterms:relation,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ad8-1fa4-11ee-9b66-ff42ce833e05,asset,replaces,dcat:Resource,dcterms:replaces,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ad9-1fa4-11ee-9b66-ff42ce833e05,asset,rights,dcat:Resource,dcterms:rights,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ada-1fa4-11ee-9b66-ff42ce833e05,asset,title,dcat:Resource,dcterms:title,std_admin,2023-07-11 04:33:14.602+00,,
0cde0adb-1fa4-11ee-9b66-ff42ce833e05,asset,type,dcat:Resource,dcterms:type,std_admin,2023-07-11 04:33:14.602+00,,
0cde0adc-1fa4-11ee-9b66-ff42ce833e05,asset,has_policy,dcat:Resource,odrl:hasPolicy,std_admin,2023-07-11 04:33:14.602+00,,
0cde0ade-1fa4-11ee-9b66-ff42ce833e05,asset,update_date,dcat:Resource,dcterms:modified,std_admin,2023-07-11 04:33:14.602+00,,
0cde0adf-1fa4-11ee-9b66-ff42ce833e05,asset,homepage,dcat:Catalog,foaf:homepage,std_admin,2023-07-11 04:33:14.602+00,,
